[2024-04-12T00:00:31.811+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-04-12T00:00:31.898+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: Process_W3_Data.BuildDimDate scheduled__2024-04-11T00:00:00+00:00 [queued]>
[2024-04-12T00:00:31.948+0000] {taskinstance.py:2073} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: Process_W3_Data.BuildDimDate scheduled__2024-04-11T00:00:00+00:00 [queued]>
[2024-04-12T00:00:31.948+0000] {taskinstance.py:2303} INFO - Starting attempt 1 of 1
[2024-04-12T00:00:32.030+0000] {taskinstance.py:2327} INFO - Executing <Task(PythonOperator): BuildDimDate> on 2024-04-11 00:00:00+00:00
[2024-04-12T00:00:32.066+0000] {warnings.py:110} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:61: DeprecationWarning: This process (pid=28375) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-04-12T00:00:32.087+0000] {standard_task_runner.py:63} INFO - Started process 28379 to run task
[2024-04-12T00:00:32.104+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'Process_W3_Data', 'BuildDimDate', 'scheduled__2024-04-11T00:00:00+00:00', '--job-id', '211', '--raw', '--subdir', 'DAGS_FOLDER/w3c.py', '--cfg-path', '/tmp/tmp4o_5_7dr']
[2024-04-12T00:00:32.117+0000] {standard_task_runner.py:91} INFO - Job 211: Subtask BuildDimDate
[2024-04-12T00:00:32.385+0000] {task_command.py:426} INFO - Running <TaskInstance: Process_W3_Data.BuildDimDate scheduled__2024-04-11T00:00:00+00:00 [running]> on host 426f0b9f9d71
[2024-04-12T00:00:32.944+0000] {taskinstance.py:2644} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='Process_W3_Data' AIRFLOW_CTX_TASK_ID='BuildDimDate' AIRFLOW_CTX_EXECUTION_DATE='2024-04-11T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2024-04-11T00:00:00+00:00'
[2024-04-12T00:00:32.947+0000] {taskinstance.py:430} INFO - ::endgroup::
[2024-04-12T00:00:33.005+0000] {logging_mixin.py:188} INFO - 2010-03-15
[2024-04-12T00:00:33.006+0000] {logging_mixin.py:188} INFO - 2010-03-22
[2024-04-12T00:00:33.006+0000] {logging_mixin.py:188} INFO - 2010-04-06
[2024-04-12T00:00:33.006+0000] {logging_mixin.py:188} INFO - 2010-04-19
[2024-04-12T00:00:33.007+0000] {logging_mixin.py:188} INFO - 2010-04-22
[2024-04-12T00:00:33.015+0000] {logging_mixin.py:188} INFO - 2010-04-23
[2024-04-12T00:00:33.015+0000] {logging_mixin.py:188} INFO - 2010-04-24
[2024-04-12T00:00:33.016+0000] {logging_mixin.py:188} INFO - 2010-04-25
[2024-04-12T00:00:33.016+0000] {logging_mixin.py:188} INFO - 2010-04-30
[2024-04-12T00:00:33.017+0000] {logging_mixin.py:188} INFO - 2010-05-19
[2024-04-12T00:00:33.017+0000] {logging_mixin.py:188} INFO - 2010-05-20
[2024-04-12T00:00:33.018+0000] {logging_mixin.py:188} INFO - 2010-05-26
[2024-04-12T00:00:33.018+0000] {logging_mixin.py:188} INFO - 2010-05-28
[2024-04-12T00:00:33.019+0000] {logging_mixin.py:188} INFO - 2010-06-12
[2024-04-12T00:00:33.035+0000] {logging_mixin.py:188} INFO - 2010-06-15
[2024-04-12T00:00:33.036+0000] {logging_mixin.py:188} INFO - 2010-06-19
[2024-04-12T00:00:33.036+0000] {logging_mixin.py:188} INFO - 2010-06-22
[2024-04-12T00:00:33.037+0000] {logging_mixin.py:188} INFO - 2010-06-26
[2024-04-12T00:00:33.037+0000] {logging_mixin.py:188} INFO - 2010-06-28
[2024-04-12T00:00:33.038+0000] {logging_mixin.py:188} INFO - 2010-06-29
[2024-04-12T00:00:33.038+0000] {logging_mixin.py:188} INFO - 2010-06-30
[2024-04-12T00:00:33.039+0000] {logging_mixin.py:188} INFO - 2010-07-05
[2024-04-12T00:00:33.047+0000] {logging_mixin.py:188} INFO - 2010-07-08
[2024-04-12T00:00:33.048+0000] {logging_mixin.py:188} INFO - 2010-07-14
[2024-04-12T00:00:33.048+0000] {logging_mixin.py:188} INFO - 2010-10-31
[2024-04-12T00:00:33.049+0000] {logging_mixin.py:188} INFO - Date
[2024-04-12T00:00:33.049+0000] {logging_mixin.py:188} INFO - Error with Date
[2024-04-12T00:00:33.050+0000] {python.py:237} INFO - Done. Returned value was: None
[2024-04-12T00:00:33.051+0000] {taskinstance.py:441} INFO - ::group::Post task execution logs
[2024-04-12T00:00:33.093+0000] {taskinstance.py:1205} INFO - Marking task as SUCCESS. dag_id=Process_W3_Data, task_id=BuildDimDate, execution_date=20240411T000000, start_date=20240412T000031, end_date=20240412T000033
[2024-04-12T00:00:33.190+0000] {local_task_job_runner.py:240} INFO - Task exited with return code 0
[2024-04-12T00:00:33.307+0000] {taskinstance.py:3482} INFO - 1 downstream tasks scheduled from follow-on schedule check
[2024-04-12T00:00:33.311+0000] {local_task_job_runner.py:222} INFO - ::endgroup::
